pLoC,EFNA3,NC1,NC1s,NC2,NC2s
36,35,58,11,53,40
32,33,26,11,37,43
10,17,26,19,56,19
26,25,18,12,48,18
15,89,20,12,27,33
23,36,24,20,29,29
17,40,10,7,22,29
14,36,31,104,79,25
44,35,28,116,22,28
12,37,26,11,18,47
3,35,16,64,31,64
21,48,28,85,32,17
21,43,9,60,7,23
39,53,18,26,32,57
19,42,35,23,23,63
7,34,29,115,13,86
4,33,38,15,22,36
,42,18,8,11,50
,43,27,105,24,80
,17,10,66,22,115
,27,35,120,38,55
,18,3,,55,68
,20,26,,28,38
,0,22,,74,97
,29,65,,20,83
,25,38,,82,
,24,57,,30,
,29,27,,36,
,,65,,68,
,,85,,40,
,,64,,37,
,,27,,50,
,,45,,40,
,,95,,32,
,,49,,40,
,,55,,17,
,,50,,,
,,74,,,
,,49,,,
,,6,,,
,,32,,,
