"","pLoC","EFNA3","NC1","NC1s","NC2","NC2s","assay"
"1",36,35,58,11,53,40,2
"2",32,33,26,11,37,43,2
"3",10,17,26,19,56,19,2
"4",26,25,18,12,48,18,1
"5",15,89,20,12,27,33,1
"6",23,36,24,20,29,29,1
"7",17,40,10,7,22,29,3
"8",14,36,31,104,79,25,2
"9",44,35,28,116,22,28,3
"10",12,37,26,11,18,47,1
"11",3,35,16,64,31,64,1
"12",21,48,28,85,32,17,1
"13",21,43,9,60,7,23,3
"14",39,53,18,26,32,57,2
"15",19,42,35,23,23,63,3
"16",7,34,29,115,13,86,3
"17",4,33,38,15,22,36,3
"18",NA,42,18,8,11,50,3
"19",NA,43,27,105,24,80,1
"20",NA,17,10,66,22,115,2
"21",NA,27,35,120,38,55,2
"22",NA,18,3,NA,55,68,2
"23",NA,20,26,NA,28,38,3
"24",NA,0,22,NA,74,97,1
"25",NA,29,65,NA,20,83,1
"26",NA,25,38,NA,82,NA,2
"27",NA,24,57,NA,30,NA,2
"28",NA,29,27,NA,36,NA,3
"29",NA,NA,65,NA,68,NA,3
"30",NA,NA,85,NA,40,NA,1
"31",NA,NA,64,NA,37,NA,3
"32",NA,NA,27,NA,50,NA,1
"33",NA,NA,45,NA,40,NA,3
"34",NA,NA,95,NA,32,NA,2
"35",NA,NA,49,NA,40,NA,3
"36",NA,NA,55,NA,17,NA,1
"37",NA,NA,50,NA,NA,NA,3
"38",NA,NA,74,NA,NA,NA,3
"39",NA,NA,49,NA,NA,NA,3
"40",NA,NA,6,NA,NA,NA,1
"41",NA,NA,32,NA,NA,NA,1
